,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,ABBE,,ABBE,,DISPERSIONS,,,PARTIAL DISPERSIONS,,,,,,PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,Deviation of Relative Partial Dispesions,,,,,CONSTANTS  OF DISPERSION FORMULA (Sellmeier),,,,,,CONSTANTS  OF DISPERSION FORMULA (Cauchy),,,,,,COLORING,,,INTERNAL  TRANSMISSION COLORING,,CCI,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,Constants of dn/dT,,,,,,Thermal Properties,,,,,CTEα(10-7/℃),,Conductivity,Mechanical  Properties,,,,,,,Chemical  Properties,,,,,,Bubble Grp,Spec. Gravity
,Glass ,Code(d),Code(e),n2325,n1970,n1530,n1129,nt,ns,nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',nHe-Cd,ng,nh,ni,νd,νe,νd,νe,nF-nC,nF-nC,nF'-nC',nC-nt,nC-nA',nd-nC,ne-nC,ng-nd,ng-nF,nh-ng,ni-ng,nC'-nt,ne-nC',nF'-ne,ni-nF',"θC,t","θC,A'","θd,C","θe,C","θg,d","θg,F","θh,g","θi,g","θ'C',t","θ'e,C'","θ'F',e","θ'i,F'","ΔθC,t","ΔθC,A'","Δθg,d","Δθg,F","Δθi,g",A1,A2,A3,B1,B2,B3,A0,A1,A2,A3,A4,A5,λ80,(λ70),λ5,λ0.80,λ0.05,B,G,R,280,290,300,310,320,330,340,350,360,370,380,390,400,420,440,460,480,500,550,600,650,700,800,900,1000,1200,1400,1600,1800,2000,2200,2400,t(-40~-20),t(-20~0),t(0~20),t(20~40),t(40~60),t(60~80),C'(-40~-20),C'(-20~0),C'(0~20),C'(20~40),C'(40~60),C'(60~80),He-Ne(-40~-20),He-Ne(20~0),He-Ne(0~20),He-Ne(20~40),He-Ne(40~60),He-Ne(60~80),D(-40~-20),D(-20~0),D(0~20),D(20~40),D(40~60),D(60~80),e(-40~-20),e(-20~0),e(0~20),e(20~40),e(40~60),e(60~80),F'(-40~-20),F'(-20~0),F'(0~20),F'(20~40),F'(40~60),F'(60~80),g(-40~-20),g(-20~0),g(0~20),g(20~40),g(40~60),g(60~80), D0, D1, D2, E0, E1,λTK,StP（℃）,AP（℃）,Tg（℃）,At（℃）,SP（℃）,(-30~+70),(100~300),k(W/(m･K)),Young's (E) ,Rigidity (G),Poisson's(σ),Knoop (Hk),Group,Abrasion(Aa),β,RW(P),RA(P),W(S)max,W(S)min,SR,PR,B,d
21,S-BAL 2,571508,574505,1.542397 ,1.547207 ,1.552441 ,1.557224 ,1.558863 ,1.561790 ,1.563829 ,1.565717 ,1.567616 ,1.568149 ,1.568649 ,1.570890 ,1.570989 ,1.573663 ,1.578856 ,1.579508 ,1.584298 ,1.585137 ,1.590445 ,1.599717 ,50.8 ,50.5 ,50.80 ,50.50 ,0.01124 ,0.011240 ,0.011359 ,0.008753 ,0.003787 ,0.003373 ,0.006047 ,0.014148 ,0.006281 ,0.005308 ,0.014580 ,0.009286 ,0.005514 ,0.005845 ,0.020209 ,0.7787 ,0.3369 ,0.3001 ,0.5380 ,1.2587 ,0.5588 ,0.4722 ,1.2972 ,0.8175 ,0.4854 ,0.5146 ,1.7791 ,-0.0063 ,-0.0005 ,-0.0005 ,-0.0005 ,-0.0024 ,1.30923813E+00,1.14137353E-01,1.17882259E+00,8.38873953E-03,3.99436485E-02,1.40257892E+02,,,,,,,370 ,,335 ,363 ,339 ,0.00 ,0.33 ,0.34 ,,,,,,,0.100 ,0.470 ,0.760 ,0.890 ,0.947 ,0.971 ,0.983 ,0.992 ,0.993 ,0.995 ,0.996 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.997 ,0.997 ,0.992 ,0.992 ,0.976 ,0.951 ,0.890 ,0.840 ,-0.7 ,-0.7 ,-0.6 ,-0.6 ,-0.6 ,-0.5 ,-0.3 ,-0.3 ,-0.2 ,-0.2 ,-0.1 ,-0.1 ,-0.3 ,-0.3 ,-0.2 ,-0.2 ,-0.1 ,-0.1 ,-0.2 ,-0.1 ,-0.1 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.3 ,0.4 ,0.4 ,0.5 ,0.6 ,0.7 ,0.8 ,0.7 ,0.8 ,0.9 ,1.1 ,1.2 ,1.3 ,-4.92E-06,1.14E-08,-3.59E-11,5.24E-07,7.01E-10,2.47E-01,492 ,525 ,540 ,582 ,663 ,91 ,109 ,0.901 ,727 ,292 ,0.245 ,510 ,5 ,163 ,2.32 ,1 ,1 ,3 ,,1.0 ,1.0 ,,2.89 
22,S-BAL 3,571530,574527,1.543615 ,1.548310 ,1.553410 ,1.558059 ,1.559649 ,1.562482 ,1.564452 ,1.566275 ,1.568105 ,1.568619 ,1.569100 ,1.571256 ,1.571351 ,1.573920 ,1.578895 ,1.579519 ,1.584088 ,1.584887 ,1.589928 ,1.598671 ,53.0 ,52.7 ,52.95 ,52.65 ,0.01079 ,0.010790 ,0.010900 ,0.008456 ,0.003653 ,0.003246 ,0.005815 ,0.013536 ,0.005992 ,0.005041 ,0.013784 ,0.008970 ,0.005301 ,0.005599 ,0.019152 ,0.7837 ,0.3386 ,0.3008 ,0.5389 ,1.2545 ,0.5553 ,0.4672 ,1.2775 ,0.8229 ,0.4863 ,0.5137 ,1.7571 ,-0.0114 ,-0.0015 ,-0.0003 ,-0.0005 ,-0.0041 ,1.29366890E+00,1.32440252E-01,1.10197293E+00,8.00367962E-03,3.54711196E-02,1.34517431E+02,,,,,,,360 ,,330 ,358 ,332 ,0.00 ,0.24 ,0.25 ,,,,,,0.010 ,0.260 ,0.630 ,0.840 ,0.928 ,0.963 ,0.979 ,0.988 ,0.994 ,0.994 ,0.995 ,0.996 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.997 ,0.996 ,0.991 ,0.990 ,0.972 ,0.945 ,0.880 ,0.830 ,-1.0 ,-1.0 ,-1.0 ,-1.0 ,-1.0 ,-1.0 ,-0.8 ,-0.7 ,-0.7 ,-0.7 ,-0.7 ,-0.6 ,-0.7 ,-0.7 ,-0.7 ,-0.6 ,-0.6 ,-0.6 ,-0.6 ,-0.6 ,-0.6 ,-0.5 ,-0.5 ,-0.4 ,-0.5 ,-0.4 ,-0.4 ,-0.3 ,-0.3 ,-0.2 ,-0.1 ,-0.1 ,0.0 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.4 ,0.5 ,0.5 ,0.6 ,-5.70E-06,1.05E-08,-3.78E-11,4.40E-07,5.55E-10,2.62E-01,483 ,516 ,531 ,573 ,652 ,95 ,111 ,0.864 ,719 ,288 ,0.249 ,510 ,5 ,172 ,2.18 ,2 ,3 ,2 ,,1.2 ,1.0 ,,2.98 
23,S-BAL12,540595,542592,1.513584 ,1.518477 ,1.523703 ,1.528254 ,1.529738 ,1.532301 ,1.534038 ,1.535621 ,1.537194 ,1.537634 ,1.538045 ,1.539875 ,1.539956 ,1.542121 ,1.546275 ,1.546792 ,1.550561 ,1.551216 ,1.555321 ,1.562323 ,59.5 ,59.2 ,59.46 ,59.20 ,0.00908 ,0.009081 ,0.009158 ,0.007456 ,0.003156 ,0.002762 ,0.004927 ,0.011260 ,0.004941 ,0.004105 ,0.011107 ,0.007896 ,0.004487 ,0.004671 ,0.015531 ,0.8211 ,0.3475 ,0.3042 ,0.5426 ,1.2400 ,0.5441 ,0.4520 ,1.2231 ,0.8622 ,0.4900 ,0.5100 ,1.6959 ,-0.0046 ,-0.0005 ,-0.0012 ,-0.0012 ,-0.0040 ,7.14605258E-01,6.21993289E-01,1.22537681E+00,3.01763913E-03,1.66505450E-02,1.43506314E+02,,,,,,,330 ,,300 ,330 ,301 ,0.00 ,0.09 ,0.06 ,,,0.020 ,0.230 ,0.570 ,0.800 ,0.914 ,0.959 ,0.979 ,0.989 ,0.992 ,0.995 ,0.997 ,0.997 ,0.997 ,0.997 ,0.998 ,0.999 ,0.999 ,0.999 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.993 ,0.995 ,0.983 ,0.966 ,0.920 ,0.890 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.4 ,1.7 ,1.7 ,1.7 ,1.7 ,1.7 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.9 ,1.9 ,1.9 ,1.9 ,1.9 ,2.0 ,2.0 ,2.0 ,2.0 ,2.1 ,2.1 ,2.3 ,2.3 ,2.3 ,2.4 ,2.4 ,2.4 ,2.6 ,2.6 ,2.7 ,2.7 ,2.8 ,2.8 ,-3.77E-07,1.04E-08,-3.79E-11,4.41E-07,4.08E-10,2.32E-01,432 ,468 ,478 ,527 ,624 ,86 ,102 ,0.982 ,710 ,306 ,0.161 ,520 ,5 ,105 ,2.60 ,1 ,1 ,1 ,,1.0 ,2.0 ,,2.75 
24,S-BAL14,569563,571561,1.540496 ,1.545650 ,1.551164 ,1.556011 ,1.557611 ,1.560398 ,1.562299 ,1.564039 ,1.565775 ,1.566261 ,1.566715 ,1.568742 ,1.568832 ,1.571237 ,1.575867 ,1.576446 ,1.580670 ,1.581406 ,1.586035 ,1.594001 ,56.3 ,56.1 ,56.36 ,56.09 ,0.01010 ,0.010092 ,0.010185 ,0.008164 ,0.003476 ,0.003057 ,0.005462 ,0.012574 ,0.005539 ,0.004629 ,0.012595 ,0.008650 ,0.004976 ,0.005209 ,0.017555 ,0.8090 ,0.3444 ,0.3029 ,0.5412 ,1.2459 ,0.5489 ,0.4587 ,1.2480 ,0.8493 ,0.4886 ,0.5114 ,1.7236 ,-0.0021 ,0.0002 ,-0.0018 ,-0.0014 ,-0.0051 ,1.27553696E+00,1.46083393E-01,1.16754699E+00,7.49692359E-03,3.10421530E-02,1.28947092E+02,,,,,,,360 ,,325 ,354 ,329 ,0.00 ,0.26 ,0.24 ,,,,,,0.090 ,0.440 ,0.740 ,0.880 ,0.946 ,0.970 ,0.983 ,0.989 ,0.992 ,0.993 ,0.994 ,0.995 ,0.997 ,0.998 ,0.998 ,0.997 ,0.998 ,0.998 ,0.998 ,0.997 ,0.997 ,0.989 ,0.993 ,0.983 ,0.967 ,0.914 ,0.860 ,1.2 ,1.2 ,1.3 ,1.3 ,1.4 ,1.4 ,1.5 ,1.5 ,1.6 ,1.7 ,1.7 ,1.8 ,1.5 ,1.6 ,1.6 ,1.7 ,1.8 ,1.8 ,1.6 ,1.7 ,1.7 ,1.8 ,1.8 ,1.9 ,1.8 ,1.8 ,1.9 ,2.0 ,2.0 ,2.1 ,2.1 ,2.2 ,2.2 ,2.3 ,2.4 ,2.5 ,2.4 ,2.5 ,2.6 ,2.7 ,2.8 ,2.9 ,-5.94E-07,1.27E-08,-3.65E-11,3.93E-07,3.72E-10,2.60E-01,533 ,562 ,580 ,622 ,700 ,80 ,93 ,0.967 ,811 ,327 ,0.240 ,570 ,6 ,134 ,2.32 ,2 ,1 ,2 ,3 ,1.0 ,2.0 ,,2.89 
25,S-BAL35,589612,591609,1.559587 ,1.565309 ,1.571343 ,1.576483 ,1.578127 ,1.580927 ,1.582804 ,1.584505 ,1.586188 ,1.586657 ,1.587095 ,1.589044 ,1.589130 ,1.591429 ,1.595824 ,1.596371 ,1.600344 ,1.601034 ,1.605348 ,1.612681 ,61.2 ,60.9 ,61.14 ,60.88 ,0.00963 ,0.009636 ,0.009714 ,0.008061 ,0.003384 ,0.002942 ,0.005241 ,0.011904 ,0.005210 ,0.004314 ,0.011647 ,0.008530 ,0.004772 ,0.004942 ,0.016310 ,0.8366 ,0.3512 ,0.3053 ,0.5439 ,1.2354 ,0.5407 ,0.4477 ,1.2087 ,0.8781 ,0.4912 ,0.5088 ,1.6790 ,0.0030 ,0.0012 ,-0.0024 ,-0.0018 ,-0.0044 ,9.41357273E-01,5.46174895E-01,1.16168917E+00,1.40333996E-02,9.06635683E-04,1.14163758E+02,,,,,,,345 ,,300 ,339 ,303 ,0.00 ,0.17 ,0.15 ,,,0.010 ,0.160 ,0.430 ,0.670 ,0.820 ,0.904 ,0.949 ,0.972 ,0.983 ,0.989 ,0.993 ,0.995 ,0.995 ,0.996 ,0.997 ,0.998 ,0.999 ,0.998 ,0.998 ,0.999 ,0.999 ,0.998 ,0.998 ,0.998 ,0.984 ,0.994 ,0.987 ,0.972 ,0.890 ,0.800 ,2.9 ,3.0 ,3.2 ,3.3 ,3.5 ,3.6 ,3.1 ,3.3 ,3.5 ,3.6 ,3.8 ,3.9 ,3.1 ,3.3 ,3.5 ,3.6 ,3.8 ,4.0 ,3.3 ,3.4 ,3.6 ,3.8 ,3.9 ,4.1 ,3.4 ,3.5 ,3.7 ,3.9 ,4.1 ,4.2 ,3.6 ,3.8 ,4.0 ,4.2 ,4.4 ,4.5 ,3.9 ,4.1 ,4.3 ,4.5 ,4.7 ,4.9 ,3.66E-06,1.79E-08,-4.21E-11,3.12E-07,3.55E-10,2.54E-01,619 ,646 ,669 ,709 ,768 ,57 ,67 ,0.915 ,832 ,333 ,0.250 ,590 ,6 ,115 ,2.15 ,2 ,3 ,2 ,3 ,4.2 ,1.0 ,,3.31 
26,S-BAL41,564607,566604,1.535298 ,1.540832 ,1.546668 ,1.551635 ,1.553222 ,1.555926 ,1.557736 ,1.559377 ,1.561001 ,1.561453 ,1.561876 ,1.563756 ,1.563839 ,1.566056 ,1.570295 ,1.570822 ,1.574652 ,1.575316 ,1.579471 ,1.586524 ,60.7 ,60.4 ,60.67 ,60.42 ,0.00929 ,0.009294 ,0.009369 ,0.007779 ,0.003265 ,0.002838 ,0.005055 ,0.011477 ,0.005021 ,0.004155 ,0.011208 ,0.008231 ,0.004603 ,0.004766 ,0.015702 ,0.8370 ,0.3513 ,0.3054 ,0.5439 ,1.2349 ,0.5402 ,0.4471 ,1.2059 ,0.8785 ,0.4913 ,0.5087 ,1.6760 ,0.0057 ,0.0019 ,-0.0038 ,-0.0031 ,-0.0111 ,1.24344200E+00,1.66301104E-01,1.10586114E+00,1.16396708E-02,-8.90464938E-03,1.14111220E+02,,,,,,,340 ,,295 ,336 ,300 ,0.00 ,0.20 ,0.14 ,,,0.050 ,0.250 ,0.510 ,0.720 ,0.850 ,0.925 ,0.960 ,0.978 ,0.985 ,0.990 ,0.993 ,0.994 ,0.994 ,0.995 ,0.997 ,0.998 ,0.999 ,0.998 ,0.997 ,0.998 ,0.998 ,0.998 ,0.997 ,0.997 ,0.987 ,0.993 ,0.984 ,0.971 ,0.908 ,0.830 ,2.1 ,2.1 ,2.1 ,2.1 ,2.2 ,2.2 ,2.3 ,2.3 ,2.4 ,2.5 ,2.5 ,2.6 ,2.3 ,2.3 ,2.4 ,2.5 ,2.5 ,2.6 ,2.4 ,2.4 ,2.5 ,2.6 ,2.7 ,2.7 ,2.5 ,2.6 ,2.7 ,2.7 ,2.8 ,2.9 ,2.8 ,2.9 ,3.0 ,3.1 ,3.2 ,3.2 ,3.0 ,3.2 ,3.3 ,3.4 ,3.5 ,3.6 ,1.27E-06,1.20E-08,-4.09E-11,3.60E-07,6.17E-10,2.54E-01,486 ,521 ,541 ,577 ,644 ,75 ,91 ,1.043 ,890 ,358 ,0.242 ,600 ,6 ,122 ,2.32 ,2 ,3 ,2 ,3 ,51.2 ,3.0 ,,2.78 
27,S-BAL42,583594,585591,1.554629 ,1.559924 ,1.565571 ,1.570481 ,1.572083 ,1.574851 ,1.576726 ,1.578437 ,1.580139 ,1.580614 ,1.581058 ,1.583039 ,1.583126 ,1.585468 ,1.589960 ,1.590519 ,1.594590 ,1.595297 ,1.599721 ,1.607243 ,59.4 ,59.1 ,59.38 ,59.11 ,0.00982 ,0.009821 ,0.009905 ,0.008056 ,0.003413 ,0.002987 ,0.005329 ,0.012171 ,0.005337 ,0.004424 ,0.011946 ,0.008531 ,0.004854 ,0.005051 ,0.016724 ,0.8203 ,0.3475 ,0.3041 ,0.5426 ,1.2393 ,0.5434 ,0.4505 ,1.2164 ,0.8613 ,0.4901 ,0.5099 ,1.6884 ,-0.0050 ,-0.0004 ,-0.0021 ,-0.0020 ,-0.0114 ,1.39570615E+00,7.18505070E-02,1.27129267E+00,1.12218843E-02,-2.52117422E-02,1.34497860E+02,,,,,,,340 ,,290 ,335 ,292 ,0.00 ,0.16 ,0.14 ,,0.030 ,0.150 ,0.360 ,0.580 ,0.750 ,0.860 ,0.932 ,0.964 ,0.979 ,0.986 ,0.991 ,0.993 ,0.995 ,0.995 ,0.996 ,0.997 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.998 ,0.997 ,0.997 ,0.997 ,0.987 ,0.994 ,0.985 ,0.973 ,0.917 ,0.860 ,2.9 ,2.9 ,3.0 ,3.0 ,3.0 ,3.1 ,3.2 ,3.3 ,3.3 ,3.4 ,3.4 ,3.5 ,3.2 ,3.3 ,3.3 ,3.4 ,3.4 ,3.5 ,3.3 ,3.4 ,3.4 ,3.5 ,3.6 ,3.7 ,3.5 ,3.5 ,3.6 ,3.7 ,3.7 ,3.8 ,3.8 ,3.8 ,3.9 ,4.0 ,4.1 ,4.2 ,4.0 ,4.1 ,4.2 ,4.3 ,4.4 ,4.5 ,2.92E-06,1.21E-08,-3.34E-11,4.43E-07,5.78E-10,1.95E-01,503 ,534 ,550 ,588 ,672 ,66 ,76 ,0.974 ,847 ,340 ,0.246 ,570 ,6 ,117 ,2.20 ,1 ,2 ,1 ,2 ,1.2 ,1.0 ,,3.19 
28,S-BAM 4,606437,609434,1.573512 ,1.578498 ,1.584017 ,1.589263 ,1.591127 ,1.594533 ,1.596950 ,1.599214 ,1.601507 ,1.602155 ,1.602763 ,1.605498 ,1.605620 ,1.608909 ,1.615364 ,1.616181 ,1.622224 ,1.623291 ,1.630102 ,1.642283 ,43.7 ,43.4 ,43.70 ,43.41 ,0.01385 ,0.013857 ,0.014026 ,0.010380 ,0.004557 ,0.004113 ,0.007402 ,0.017671 ,0.007927 ,0.006811 ,0.018992 ,0.011028 ,0.006754 ,0.007272 ,0.026102 ,0.7491 ,0.3289 ,0.2968 ,0.5342 ,1.2752 ,0.5721 ,0.4915 ,1.3706 ,0.7863 ,0.4815 ,0.5185 ,1.8610 ,-0.0026 ,0.0001 ,0.0012 ,0.0013 ,0.0115 ,1.41059317E+00,1.11201306E-01,1.34148939E+00,9.63312192E-03,4.98778210E-02,1.52237696E+02,,,,,,,380 ,,345 ,375 ,350 ,0.00 ,0.69 ,0.65 ,,,,,,,,0.060 ,0.410 ,0.720 ,0.870 ,0.938 ,0.965 ,0.986 ,0.991 ,0.991 ,0.993 ,0.995 ,0.998 ,0.997 ,0.996 ,0.997 ,0.999 ,0.998 ,0.998 ,0.998 ,0.995 ,0.994 ,0.980 ,0.962 ,0.919 ,0.890 ,0.6 ,0.7 ,0.7 ,0.8 ,0.8 ,0.9 ,1.0 ,1.1 ,1.1 ,1.2 ,1.3 ,1.4 ,1.0 ,1.1 ,1.2 ,1.2 ,1.3 ,1.4 ,1.2 ,1.3 ,1.3 ,1.4 ,1.5 ,1.6 ,1.4 ,1.5 ,1.6 ,1.7 ,1.8 ,1.9 ,1.9 ,2.0 ,2.1 ,2.2 ,2.4 ,2.5 ,2.4 ,2.6 ,2.7 ,2.9 ,3.0 ,3.2 ,-1.96E-06,1.25E-08,-3.24E-11,5.00E-07,6.02E-10,2.88E-01,548 ,577 ,599 ,641 ,722 ,84 ,97 ,0.931 ,762 ,306 ,0.244 ,520 ,5 ,151 ,2.41 ,1 ,1 ,1 ,2 ,1.0 ,1.0 ,,2.91 
29,S-BAM12,639449,643446,1.604797 ,1.610398 ,1.616533 ,1.622234 ,1.624221 ,1.627808 ,1.630332 ,1.632682 ,1.635057 ,1.635726 ,1.636354 ,1.639175 ,1.639300 ,1.642684 ,1.649304 ,1.650140 ,1.656313 ,1.657401 ,1.664330 ,1.676645 ,44.9 ,44.6 ,44.87 ,44.59 ,0.01424 ,0.014247 ,0.014414 ,0.010836 ,0.004725 ,0.004243 ,0.007627 ,0.018101 ,0.008097 ,0.006929 ,0.019244 ,0.011505 ,0.006958 ,0.007456 ,0.026505 ,0.7606 ,0.3316 ,0.2978 ,0.5353 ,1.2705 ,0.5683 ,0.4863 ,1.3507 ,0.7982 ,0.4827 ,0.5173 ,1.8388 ,0.0034 ,0.0014 ,-0.0010 ,-0.0006 ,0.0014 ,1.50161605E+00,1.26987445E-01,1.43544052E+00,9.40761826E-03,4.72602195E-02,1.41666499E+02,,,,,,,385 ,,345 ,374 ,348 ,0.00 ,0.93 ,0.93 ,,,,,,,,0.130 ,0.490 ,0.750 ,0.870 ,0.928 ,0.955 ,0.977 ,0.983 ,0.987 ,0.990 ,0.993 ,0.997 ,0.996 ,0.996 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.992 ,0.995 ,0.987 ,0.976 ,0.932 ,0.860 ,2.3 ,2.3 ,2.3 ,2.4 ,2.4 ,2.4 ,2.6 ,2.7 ,2.7 ,2.8 ,2.8 ,2.9 ,2.7 ,2.7 ,2.8 ,2.8 ,2.9 ,2.9 ,2.8 ,2.9 ,3.0 ,3.0 ,3.1 ,3.1 ,3.0 ,3.1 ,3.2 ,3.3 ,3.3 ,3.4 ,3.5 ,3.6 ,3.7 ,3.8 ,3.9 ,4.0 ,4.1 ,4.2 ,4.3 ,4.5 ,4.6 ,4.7 ,1.32E-06,1.09E-08,-4.03E-11,4.22E-07,5.30E-10,3.01E-01,565 ,592 ,608 ,645 ,717 ,76 ,91 ,0.954 ,904 ,361 ,0.253 ,550 ,6 ,144 ,2.30 ,1 ,1 ,2 ,,3.2 ,1.0 ,,3.18 
30,S-BAH10,670473,673470,1.635456 ,1.641080 ,1.647222 ,1.652929 ,1.654922 ,1.658521 ,1.661053 ,1.663410 ,1.665788 ,1.666457 ,1.667086 ,1.669904 ,1.670029 ,1.673402 ,1.679974 ,1.680802 ,1.686888 ,1.687957 ,1.694731 ,1.706627 ,47.3 ,47.0 ,47.23 ,46.94 ,0.01418 ,0.014186 ,0.014345 ,0.010866 ,0.004735 ,0.004241 ,0.007614 ,0.017928 ,0.007983 ,0.006774 ,0.018670 ,0.011535 ,0.006945 ,0.007400 ,0.025825 ,0.7660 ,0.3338 ,0.2990 ,0.5367 ,1.2638 ,0.5627 ,0.4775 ,1.3161 ,0.8041 ,0.4841 ,0.5159 ,1.8003 ,-0.0023 ,0.0007 ,-0.0028 ,-0.0024 ,-0.0134 ,1.59034337E+00,1.38464579E-01,1.21988043E+00,9.32734340E-03,4.27498654E-02,1.19251777E+02,,,,,,,390 ,,340 ,378 ,342 ,0.00 ,1.25 ,1.25 ,,,,,,,0.010 ,0.190 ,0.480 ,0.700 ,0.830 ,0.902 ,0.939 ,0.969 ,0.979 ,0.984 ,0.989 ,0.993 ,0.997 ,0.996 ,0.996 ,0.997 ,0.998 ,0.997 ,0.997 ,0.998 ,0.996 ,0.996 ,0.991 ,0.981 ,0.949 ,0.850 ,3.4 ,3.5 ,3.5 ,3.6 ,3.6 ,3.7 ,3.9 ,3.9 ,4.0 ,4.1 ,4.2 ,4.2 ,3.9 ,4.0 ,4.1 ,4.1 ,4.2 ,4.3 ,4.1 ,4.1 ,4.2 ,4.3 ,4.4 ,4.5 ,4.3 ,4.4 ,4.5 ,4.6 ,4.7 ,4.8 ,4.8 ,4.9 ,5.0 ,5.2 ,5.3 ,5.4 ,5.3 ,5.5 ,5.6 ,5.7 ,5.9 ,6.0 ,3.39E-06,1.19E-08,-3.43E-11,5.18E-07,5.64E-10,2.61E-01,584 ,612 ,623 ,669 ,734 ,68 ,80 ,0.902 ,962 ,378 ,0.273 ,560 ,6 ,127 ,2.12 ,1 ,3 ,2 ,,51.2 ,1.0 ,,3.48 
31,S-BAH11,667483,670480,1.633279 ,1.638660 ,1.644562 ,1.650079 ,1.652013 ,1.655513 ,1.657978 ,1.660273 ,1.662589 ,1.663241 ,1.663853 ,1.666596 ,1.666718 ,1.670000 ,1.676386 ,1.677189 ,1.683090 ,1.684125 ,1.690674 ,1.702127 ,48.3 ,48.0 ,48.32 ,48.04 ,0.01380 ,0.013797 ,0.013948 ,0.010576 ,0.004611 ,0.004129 ,0.007411 ,0.017407 ,0.007739 ,0.006549 ,0.018002 ,0.011228 ,0.006759 ,0.007189 ,0.024938 ,0.7665 ,0.3342 ,0.2993 ,0.5371 ,1.2617 ,0.5609 ,0.4747 ,1.3048 ,0.8050 ,0.4846 ,0.5154 ,1.7879 ,-0.0069 ,-0.0002 ,-0.0027 ,-0.0024 ,-0.0156 ,1.57138860E+00,1.47869313E-01,1.28092846E+00,9.10807936E-03,4.02401684E-02,1.30399367E+02,,,,,,,380 ,,340 ,375 ,340 ,0.00 ,0.98 ,0.94 ,,,,,,,0.040 ,0.270 ,0.560 ,0.750 ,0.860 ,0.922 ,0.952 ,0.975 ,0.982 ,0.987 ,0.991 ,0.994 ,0.997 ,0.995 ,0.995 ,0.996 ,0.997 ,0.997 ,0.997 ,0.998 ,0.994 ,0.995 ,0.988 ,0.976 ,0.936 ,0.840 ,3.3 ,3.3 ,3.3 ,3.3 ,3.4 ,3.4 ,3.7 ,3.8 ,3.8 ,3.9 ,4.0 ,4.0 ,3.7 ,3.8 ,3.9 ,3.9 ,4.0 ,4.1 ,3.9 ,4.0 ,4.1 ,4.1 ,4.2 ,4.3 ,4.1 ,4.2 ,4.3 ,4.4 ,4.5 ,4.6 ,4.6 ,4.7 ,4.8 ,4.9 ,5.0 ,5.1 ,5.1 ,5.2 ,5.4 ,5.5 ,5.6 ,5.8 ,2.98E-06,1.09E-08,-3.44E-11,5.52E-07,7.15E-10,2.44E-01,593 ,617 ,629 ,675 ,738 ,69 ,82 ,0.858 ,929 ,365 ,0.274 ,560 ,6 ,154 ,2.06 ,1 ,3 ,3 ,,52.2 ,2.0 ,,3.59 
