LAK011	741527	744524	2.97199342E+00	-1.52435249E-02	2.02061158E-02	8.75252167E-04	-7.67180744E-05	4.84807195E-06
E-LAK8	713539	716536	2.87864541E+00	-1.42314931E-02	1.98025768E-02	4.01179570E-04	-6.68878586E-06	7.86869747E-07
E-LAK10	720502	723500	2.89528358E+00	-1.17686807E-02	2.22295765E-02	2.69351264E-04	2.23005932E-05	-4.35464340E-07
E-LAK13	694532	697530	2.81365515E+00	-1.34879998E-02	1.91920754E-02	4.14986834E-04	-7.45390097E-06	7.65453719E-07
E-LAK14	697555	700553	2.82766740E+00	-1.46359226E-02	1.83760559E-02	4.20548979E-04	-1.31827801E-05	9.74806017E-07
E-LAK18	729547	732544	2.93385862E+00	-1.50347642E-02	1.98579837E-02	5.00310675E-04	-2.05752531E-05	1.37499776E-06
E-LAK01	640601	643599	2.64816555E+00	-1.39955727E-02	1.52775593E-02	2.27366594E-04	4.86219531E-06	-2.33276501E-07
E-LAK02	670573	673571	2.74241958E+00	-1.30203862E-02	1.59689321E-02	7.09178831E-04	-6.08192466E-05	3.51166538E-06
E-LAK09	734515	737513	2.95310231E+00	-1.96724731E-02	1.74257922E-02	1.52866545E-03	-1.37028672E-04	6.72353302E-06
E-LAKH1	748523	752521	2.98243942E+00	-2.02422946E-03	2.67906679E-02	-6.32301437E-04	1.10898621E-04	-4.15841080E-06
E-LASKH2	755523	758521	3.01740929E+00	-1.50192115E-02	2.20799937E-02	4.76675587E-04	-9.36464002E-06	9.63541852E-07
LAF2	744450	748448	2.96646336E+00	-1.18474900E-02	2.65959714E-02	7.16682253E-05	6.75926947E-05	-1.70416556E-06
LAF3	717481	721479	2.83087375E+00	2.55641244E-02	5.04485886E-02	-6.70397968E-03	8.78922361E-04	-4.05245241E-05
LAF7	750352	755349	2.87163801E+00	5.58631865E-02	8.26011335E-02	-1.25713266E-02	1.71414005E-03	-7.97721681E-05
LAF9	795286	802284	3.09792113E+00	-1.11246632E-02	3.88244968E-02	1.94918388E-03	-6.84019791E-05	1.33030530E-05
LAF11	757317	763315	2.80963092E+00	1.14276691E-01	1.25106388E-01	-2.21708952E-02	2.91617555E-03	-1.35685507E-04
LAF09	697485	700482	2.82115249E+00	-1.28420041E-02	1.95742767E-02	8.51971209E-04	-3.82046776E-05	2.42425127E-06
E-LAF2	744448	748445	2.96848270E+00	-1.16032701E-02	2.44833672E-02	7.75976856E-04	-2.44342622E-05	3.01832049E-06
E-LAF7	749353	755350	2.96631279E+00	-1.09274208E-02	3.14277188E-02	7.03288732E-04	4.43317688E-05	2.65190331E-06
E-LAF9	795286	802284	3.09792113E+00	-1.11246632E-02	3.88244968E-02	1.94918388E-03	-6.84019791E-05	1.33030530E-05
E-LAF01	700481	703478	2.82762091E+00	-1.12227553E-02	2.13169098E-02	5.59325355E-04	-1.33571380E-05	1.86385587E-06
E-LAF02	720437	724434	2.88761613E+00	-1.13224055E-02	2.34620658E-02	8.79155778E-04	-3.93727241E-05	4.43531743E-06
E-LAF04	757478	761476	3.01654365E+00	-1.42462083E-02	2.51223164E-02	1.95992997E-04	4.35063641E-05	-7.85606637E-07
