PBM25   ,673321, 2.71075510E+00,-9.28891620E-03, 2.75423140E-02, 1.35125570E-03,-5.45639090E-05, 8.32610740E-06
PBM27   ,640345, 2.61241090E+00,-8.73165890E-03, 2.48577820E-02, 8.87786160E-04,-9.26402550E-06, 4.50287230E-06
PBM28   ,689311, 2.75779000E+00,-8.73317970E-03, 3.03796630E-02, 1.15030310E-03,-1.91677840E-05, 7.47454150E-06
PBM28W  ,689311, 2.75779000E+00,-8.73317970E-03, 3.03796630E-02, 1.15030310E-03,-1.91677840E-05, 7.47454150E-06
PBM35   ,699301, 2.79346340E+00,-1.19163230E-02, 2.72527320E-02, 2.64772610E-03,-2.27216090E-04, 2.04119420E-05
PBM39   ,667331, 2.69574570E+00,-1.02642210E-02, 2.59407950E-02, 1.42639750E-03,-6.86459740E-05, 8.20489450E-06
TIM11   ,621359, 2.56135910E+00,-1.20073900E-02, 2.07803570E-02, 1.42560600E-03,-1.10274770E-04, 1.14777860E-05
PBH 3W  ,740283, 2.91577170E+00,-1.00817000E-02, 3.40989400E-02, 2.19650140E-03,-1.23869550E-04, 1.57668430E-05
PBH 4   ,755275, 2.96137900E+00,-9.82623290E-03, 3.67795650E-02, 2.07129020E-03,-9.33486520E-05, 1.54914390E-05
PBH 4W  ,755275, 2.96137900E+00,-9.82623290E-03, 3.67795650E-02, 2.07129020E-03,-9.33486520E-05, 1.54914390E-05
PBH 6   ,805254, 3.12064200E+00,-1.12863280E-02, 4.05432490E-02, 3.38769960E-03,-2.41800360E-04, 2.74402850E-05
PBH 6W  ,805254, 3.12064200E+00,-1.12863280E-02, 4.05432490E-02, 3.38769960E-03,-2.41800360E-04, 2.74402850E-05
PBH10   ,728285, 2.87787390E+00,-1.02440630E-02, 3.38466340E-02, 1.83361350E-03,-7.87219020E-05, 1.41429080E-05
PBH11   ,785257, 3.05233170E+00,-1.06998960E-02, 4.00267610E-02, 2.74112660E-03,-1.68256550E-04, 2.45395700E-05
PBH11W  ,785257, 3.05233170E+00,-1.06998960E-02, 4.00267610E-02, 2.74112660E-03,-1.68256550E-04, 2.45395700E-05
PBH13   ,741278, 2.91614060E+00,-1.01477180E-02, 3.50777290E-02, 2.08699840E-03,-1.10777120E-04, 1.72364530E-05
PBH13W  ,741278, 2.91614060E+00,-1.01477180E-02, 3.50777290E-02, 2.08699840E-03,-1.10777120E-04, 1.72364530E-05
PBH14   ,762266, 2.98366280E+00,-1.20132130E-02, 3.52251830E-02, 3.17667360E-03,-2.53238000E-04, 2.77971010E-05
PBH14W  ,762266, 2.98366280E+00,-1.20132130E-02, 3.52251830E-02, 3.17667360E-03,-2.53238000E-04, 2.77971010E-05
PBH21   ,923209, 3.49446230E+00,-1.18414440E-02, 5.81927810E-02, 5.20064030E-03,-3.66762160E-04, 5.30803610E-05
PBH23   ,785262, 3.05543240E+00,-1.08674340E-02, 3.85228910E-02, 3.01739710E-03,-2.12947400E-04, 2.48648030E-05
PBH23W  ,785262, 3.05543240E+00,-1.08674340E-02, 3.85228910E-02, 3.01739710E-03,-2.12947400E-04, 2.48648030E-05
PBH25   ,762271, 2.98302770E+00,-1.04359520E-02, 3.63464670E-02, 2.61941150E-03,-1.75131760E-04, 2.13250990E-05
PBH25W  ,762271, 2.98302770E+00,-1.04359520E-02, 3.63464670E-02, 2.61941150E-03,-1.75131760E-04, 2.13250990E-05
PBH53   ,847239, 3.24989180E+00,-1.04663660E-02, 4.80006860E-02, 3.18599220E-03,-1.54473690E-04, 2.62586710E-05
PBH53W  ,847239, 3.24989180E+00,-1.04663660E-02, 4.80006860E-02, 3.18599220E-03,-1.54473690E-04, 2.62586710E-05
PBH72   ,915212, 3.46849380E+00,-1.07316380E-02, 5.82522460E-02, 4.65367480E-03,-3.03430500E-04, 4.82162980E-05
TPH55   ,756251, 2.95698210E+00,-1.38564760E-02, 3.72656870E-02, 2.91402490E-03,-2.00797920E-04, 2.94572200E-05
TIH53   ,847238, 3.25347070E+00,-1.45235890E-02, 4.65051360E-02, 3.61596290E-03,-2.41944080E-04, 3.58796060E-05
BAM 4   ,606437, 2.52146670E+00,-7.99130780E-03, 1.89192240E-02, 5.49235020E-04,-1.15079420E-05, 2.50582690E-06
